TimeStamp;Частота вращения РВД приведенная;0 - Bad, 1 - Good, 2 - Potential
12:10:00.001;9722.29;1
12:10:00.024;9722.34;1
12:10:00.046;9722.4;1
12:10:00.068;9722.4;1
12:10:00.091;9722.26;1
12:10:00.114;9722.26;1
12:10:00.140;9722.36;1
12:10:00.162;9721.96;1
12:10:00.183;9724.5;1
12:10:00.206;9723.6;1
12:10:00.229;9723.82;1
12:10:00.253;9723.82;1
12:10:00.277;9724.92;1
12:10:00.298;9723.33;1
12:10:00.322;9723.21;1
12:10:00.344;9723.55;1
12:10:00.369;9724.48;1
12:10:00.391;9723.59;1
12:10:00.414;9723.82;1
12:10:00.437;9723.82;1
12:10:00.459;9724.57;1
12:10:00.487;9722.28;1
12:10:00.508;9723.56;1
12:10:00.528;9723.84;1
12:10:00.552;9723.54;1
12:10:00.575;9723.41;1
12:10:00.597;9723.89;1
12:10:00.620;9723.89;1
12:10:00.643;9723.97;1
12:10:00.669;9723.75;1
12:10:00.689;9723.28;1
12:10:00.712;9723.85;1
12:10:00.735;9724.14;1
12:10:00.758;9723.77;1
12:10:00.781;9723.77;1
12:10:00.807;9723.51;1
12:10:00.829;9723.68;1
12:10:00.852;9724.18;1
12:10:00.874;9724.26;1
12:10:00.896;9724.6;1
12:10:00.919;9724.6;1
12:10:00.942;9724.14;1
12:10:00.968;9723.98;1
12:10:00.988;9725.49;1
12:10:01.011;9724.11;1
12:10:01.034;9723.87;1
12:10:01.057;9724.12;1
12:10:01.080;9724.12;1
12:10:01.106;9724.58;1
12:10:01.127;9724.4;1
12:10:01.150;9724.35;1
12:10:01.174;9724.24;1
12:10:01.195;9724.24;1
12:10:01.218;9724.54;1
12:10:01.241;9724.82;1
12:10:01.267;9725.77;1
12:10:01.287;9724.85;1
12:10:01.310;9724.2;1
12:10:01.333;9724.63;1
12:10:01.356;9724.63;1
12:10:01.380;9724.35;1
12:10:01.402;9724.35;1
12:10:01.425;9724.07;1
12:10:01.448;9724.86;1
12:10:01.471;9727.16;1
12:10:01.494;9725.12;1
12:10:01.517;9724.08;1
12:10:01.540;9724.08;1
12:10:01.563;9724.08;1
12:10:01.587;9725.35;1
12:10:01.610;9728.26;1
12:10:01.633;9723.52;1
12:10:01.657;9725.01;1
12:10:01.680;9725.31;1
12:10:01.702;9725.69;1
12:10:01.725;9725.69;1
12:10:01.748;9726.15;1
12:10:01.772;9725.13;1
12:10:01.793;9725.36;1
12:10:01.817;9725.29;1
12:10:01.840;9725.5;1
12:10:01.863;9725.02;1
12:10:01.889;9724.77;1
12:10:01.910;9724.77;1
12:10:01.932;9725.35;1
12:10:01.956;9725.34;1
12:10:01.978;9724.86;1
12:10:02.001;9725.76;1
12:10:02.026;9725.79;1
12:10:02.047;9725.79;1
12:10:02.069;9725.94;1
12:10:02.092;9725.48;1
12:10:02.116;9725.07;1
12:10:02.140;9725.25;1
12:10:02.161;9725.37;1
12:10:02.184;9725.96;1
12:10:02.208;9724.94;1
12:10:02.231;9724.94;1
12:10:02.254;9725.88;1
12:10:02.278;9725.85;1
12:10:02.301;9725.47;1
12:10:02.325;9725.93;1
12:10:02.345;9725.82;1
12:10:02.368;9726.25;1
12:10:02.392;9725.89;1
12:10:02.415;9725.89;1
12:10:02.437;9725.93;1
12:10:02.463;9725.79;1
12:10:02.487;9725.91;1
12:10:02.508;9726.28;1
12:10:02.529;9727.97;1
12:10:02.553;9727.97;1
12:10:02.576;9726.63;1
12:10:02.598;9727.05;1
12:10:02.621;9725.83;1
12:10:02.644;9726.02;1
12:10:02.670;9726.37;1
12:10:02.690;9726.67;1
12:10:02.713;9726.35;1
12:10:02.737;9726.6;1
12:10:02.763;9726.6;1
12:10:02.785;9726.94;1
12:10:02.807;9726.61;1
12:10:02.831;9726.45;1
12:10:02.854;9726.69;1
12:10:02.875;9726.56;1
12:10:02.899;9726.56;1
12:10:02.923;9726.87;1
12:10:02.945;9727.1;1
12:10:02.967;9727.02;1
12:10:02.990;9726.26;1
12:10:03.014;9726.62;1
12:10:03.037;9727.05;1
12:10:03.060;9727.05;1
12:10:03.083;9726.92;1
12:10:03.108;9726.99;1
12:10:03.128;9726.63;1
12:10:03.152;9726.5;1
12:10:03.174;9726.62;1
12:10:03.197;9726.74;1
12:10:03.220;9726.74;1
12:10:03.243;9726.65;1
12:10:03.266;9726.59;1
12:10:03.291;9726.72;1
12:10:03.312;9726.6;1
12:10:03.335;9727.36;1
12:10:03.358;9726.72;1
12:10:03.383;9726.72;1
12:10:03.405;9726.94;1
12:10:03.430;9726.94;1
12:10:03.452;9727.44;1
12:10:03.473;9727.86;1
12:10:03.497;9727.94;1
12:10:03.519;9727.32;1
12:10:03.542;9728.06;1
12:10:03.565;9728.06;1
12:10:03.588;9728.06;1
12:10:03.611;9727.28;1
12:10:03.634;9727.26;1
12:10:03.657;9727.73;1
12:10:03.683;9725.88;1
12:10:03.704;9725.88;1
12:10:03.728;9725.88;1
12:10:03.749;9727.14;1
12:10:03.772;9726.91;1
12:10:03.795;9728.12;1
12:10:03.818;9728.95;1
12:10:03.842;9729.98;1
12:10:03.863;9727.15;1
12:10:03.887;9727.31;1
12:10:03.912;9727.31;1
12:10:03.934;9727.48;1
12:10:03.955;9727.56;1
12:10:03.981;9726.94;1
12:10:04.004;9727.17;1
12:10:04.025;9727.17;1
12:10:04.050;9727.59;1
12:10:04.071;9727.2;1
12:10:04.095;9727.2;1
12:10:04.117;9728.03;1
12:10:04.140;9727.85;1
12:10:04.162;9727.28;1
12:10:04.186;9727.54;1
12:10:04.209;9727.4;1
12:10:04.231;9727.45;1
12:10:04.254;9727.45;1
12:10:04.278;9728.41;1
12:10:04.300;9727.47;1
12:10:04.324;9727.98;1
12:10:04.346;9727.4;1
12:10:04.369;9727.97;1
12:10:04.393;9727.71;1
12:10:04.415;9727.44;1
12:10:04.441;9727.44;1
12:10:04.461;9727.27;1
12:10:04.484;9727.77;1
12:10:04.507;9727.42;1
12:10:04.530;9727.53;1
12:10:04.553;9727.16;1
12:10:04.576;9728.66;1
12:10:04.600;9726.31;1
12:10:04.622;9726.31;1
12:10:04.646;9726.31;1
12:10:04.668;9727.38;1
12:10:04.692;9727.46;1
12:10:04.715;9727.19;1
12:10:04.738;9727.15;1
12:10:04.761;9727.36;1
12:10:04.786;9727.52;1
12:10:04.809;9727.33;1
12:10:04.832;9727.33;1
12:10:04.852;9727.29;1
12:10:04.876;9727.33;1
12:10:04.898;9728.08;1
12:10:04.922;9727.45;1
12:10:04.946;9728.43;1
12:10:04.969;9728.28;1
12:10:04.990;9728.5;1
12:10:05.015;9728.5;1
12:10:05.036;9728.48;1
12:10:05.062;9728;1
12:10:05.086;9726.47;1
12:10:05.105;9727.73;1
12:10:05.130;9727.29;1
12:10:05.151;9727.29;1
12:10:05.175;9727.46;1
12:10:05.198;9726.58;1
12:10:05.220;9726.85;1
12:10:05.246;9727.31;1
12:10:05.269;9727.04;1
12:10:05.290;9727.31;1
12:10:05.312;9727.31;1
12:10:05.335;9727.04;1
12:10:05.361;9726.68;1
12:10:05.387;9726.93;1
12:10:05.406;9726.52;1
12:10:05.427;9727.37;1
12:10:05.451;9727.01;1
12:10:05.474;9726.79;1
12:10:05.497;9726.79;1
12:10:05.521;9726.95;1
12:10:05.543;9726.69;1
12:10:05.565;9726.77;1
12:10:05.588;9726.77;1
12:10:05.612;9726.43;1
12:10:05.636;9726.41;1
12:10:05.657;9726.41;1
12:10:05.685;9726.28;1
12:10:05.705;9726.8;1
12:10:05.729;9726.08;1
12:10:05.750;9726.15;1
12:10:05.772;9726.67;1
12:10:05.795;9726.19;1
12:10:05.818;9726.19;1
12:10:05.841;9726.2;1
12:10:05.867;9725.91;1
12:10:05.887;9725.84;1
12:10:05.910;9726.83;1
12:10:05.933;9726.45;1
12:10:05.956;9726.41;1
12:10:05.980;9726.32;1
12:10:06.002;9726.32;1
12:10:06.025;9727.22;1
12:10:06.048;9726.78;1
12:10:06.071;9726.36;1
12:10:06.094;9726.94;1
12:10:06.117;9727.02;1
12:10:06.140;9727.02;1
12:10:06.163;9726.6;1
12:10:06.187;9726.6;1
12:10:06.209;9726.7;1
12:10:06.232;9725.99;1
12:10:06.255;9727.21;1
12:10:06.280;9726.37;1
12:10:06.301;9726.37;1
12:10:06.324;9726.05;1
12:10:06.350;9726.88;1
12:10:06.370;9726.14;1
12:10:06.393;9726.98;1
12:10:06.416;9726.82;1
12:10:06.439;9726.82;1
12:10:06.465;9727.11;1
12:10:06.485;9726.9;1
12:10:06.508;9726.69;1
12:10:06.531;9726.38;1
12:10:06.554;9726;1
12:10:06.577;9726.86;1
12:10:06.600;9726.86;1
12:10:06.623;9727.05;1
12:10:06.646;9727.05;1
12:10:06.669;9726.01;1
12:10:06.692;9726.01;1
12:10:06.715;9726.32;1
12:10:06.738;9726.32;1
12:10:06.761;9726.54;1
12:10:06.784;9726.54;1
12:10:06.809;9726.32;1
12:10:06.831;9726.27;1
12:10:06.854;9726.69;1
12:10:06.876;9726.2;1
12:10:06.899;9726.2;1
12:10:06.922;9726.24;1
12:10:06.945;9726.17;1
12:10:06.968;9726.2;1
12:10:06.991;9726.28;1
12:10:07.016;9726.43;1
12:10:07.039;9726.7;1
12:10:07.061;9726.7;1
12:10:07.086;9726.54;1
12:10:07.108;9726.36;1
12:10:07.131;9726.54;1
12:10:07.154;9726.64;1
12:10:07.175;9726.64;1
12:10:07.200;9726.75;1
12:10:07.222;9728.48;1
12:10:07.244;9729.74;1
12:10:07.269;9725.39;1
12:10:07.291;9726.48;1
12:10:07.314;9726.81;1
12:10:07.337;9726.81;1
12:10:07.359;9726.19;1
12:10:07.387;9726.85;1
12:10:07.407;9726.97;1
12:10:07.428;9726.67;1
12:10:07.452;9726.76;1
12:10:07.474;9726.76;1
12:10:07.497;9726.37;1
12:10:07.520;9726.37;1
12:10:07.543;9726.77;1
12:10:07.569;9726.46;1
12:10:07.589;9726.97;1
12:10:07.612;9726.18;1
12:10:07.635;9726.77;1
12:10:07.658;9726.64;1
12:10:07.681;9726.64;1
12:10:07.707;9726.15;1
12:10:07.729;9726.33;1
12:10:07.752;9726.76;1
12:10:07.774;9726.86;1
12:10:07.798;9726.86;1
12:10:07.819;9726.22;1
12:10:07.842;9726.24;1
12:10:07.865;9726.44;1
12:10:07.890;9726.44;1
12:10:07.912;9726.27;1
12:10:07.935;9726.12;1
12:10:07.957;9725.71;1
12:10:07.982;9725.68;1
12:10:08.005;9726.07;1
12:10:08.028;9726.07;1
12:10:08.051;9725.78;1
12:10:08.073;9726.43;1
12:10:08.095;9725.8;1
12:10:08.119;9726.37;1
12:10:08.143;9725.85;1
12:10:08.166;9725.64;1
12:10:08.188;9725.64;1
12:10:08.211;9726.84;1
12:10:08.233;9727.04;1
12:10:08.257;9723.63;1
12:10:08.281;9726.5;1
12:10:08.304;9725.66;1
12:10:08.325;9725.9;1
12:10:08.349;9725.9;1
12:10:08.372;9726.28;1
12:10:08.395;9725.96;1
12:10:08.417;9727.57;1
12:10:08.440;9725.48;1
12:10:08.464;9725.52;1
12:10:08.489;9725.52;1
12:10:08.513;9725.89;1
12:10:08.533;9727.96;1
12:10:08.555;9726.23;1
12:10:08.580;9724.09;1
12:10:08.601;9725.43;1
12:10:08.625;9725.93;1
12:10:08.647;9725.93;1
12:10:08.670;9725.22;1
12:10:08.693;9725.84;1
12:10:08.719;9726.23;1
12:10:08.739;9725.54;1
12:10:08.764;9725.18;1
12:10:08.790;9725.18;1
12:10:08.808;9725.42;1
